domain,name,source
gemeentebeek.nl,Gemeente Beek,https://organisaties.overheid.nl/archive/exportOO.xml
gemeenteberkelland.nl,Gemeente Berkelland,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentebest.nl,Gemeente Best,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentehulst.nl,Gemeente Hulst,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentehw.nl,Gemeente Hoeksche Waard,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentemaasgouw.nl,Gemeente Maasgouw,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentemaashorst.nl,Gemeente Maashorst,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentemaastricht.nl,Gemeente Maastricht,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentesluis.nl,Gemeente Sluis,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentestein.nl,Gemeente Stein,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentewesterveld.nl,Gemeente Westerveld,https://organisaties.overheid.nl/archive/exportOO.xml
gemeentewestland.nl,Gemeente Westland,https://organisaties.overheid.nl/archive/exportOO.xml
gemert-bakel.nl,Gemeente Gemert-Bakel,https://organisaties.overheid.nl/archive/exportOO.xml
gemhofvanjustitie.org,"Gemeenschappelijk Hof van Justitie van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba",https://organisaties.overheid.nl/archive/exportOO.xml
gennep.nl,Gemeente Gennep,https://organisaties.overheid.nl/archive/exportOO.xml
gilzerijen.nl,Gemeente Gilze en Rijen,https://organisaties.overheid.nl/archive/exportOO.xml
goeree-overflakkee.nl,Gemeente Goeree-Overflakkee,https://organisaties.overheid.nl/archive/exportOO.xml
goes.nl,Gemeente Goes,https://organisaties.overheid.nl/archive/exportOO.xml
goirle.nl,Gemeente Goirle,https://organisaties.overheid.nl/archive/exportOO.xml
gooisemeren.nl,Gemeente Gooise Meren,https://organisaties.overheid.nl/archive/exportOO.xml
gorinchem.nl,Gemeente Gorinchem,https://organisaties.overheid.nl/archive/exportOO.xml
gouda.nl,Gemeente Gouda,https://organisaties.overheid.nl/archive/exportOO.xml
groeneerkenningen.nl,Stichting Groene Erkenningen,https://organisaties.overheid.nl/archive/exportOO.xml
gulpen-wittem.nl,Gemeente Gulpen-Wittem,https://organisaties.overheid.nl/archive/exportOO.xml
h-i-ambacht.nl,Gemeente Hendrik-Ido-Ambacht,https://organisaties.overheid.nl/archive/exportOO.xml
haaksbergen.nl,Gemeente Haaksbergen,https://organisaties.overheid.nl/archive/exportOO.xml
haarlem.nl,Gemeente Haarlem,https://organisaties.overheid.nl/archive/exportOO.xml
haarlemmermeer.nl,Gemeente Haarlemmermeer,https://organisaties.overheid.nl/archive/exportOO.xml
halderberge.nl,Gemeente Halderberge,https://organisaties.overheid.nl/archive/exportOO.xml
hardenberg.nl,Gemeente Hardenberg,https://organisaties.overheid.nl/archive/exportOO.xml
harderwijk.nl,Gemeente Harderwijk,https://organisaties.overheid.nl/archive/exportOO.xml
hardinxveld-giessendam.nl,Gemeente Hardinxveld-Giessendam,https://organisaties.overheid.nl/archive/exportOO.xml
harlingen.nl,Gemeente Harlingen,https://organisaties.overheid.nl/archive/exportOO.xml
hattem.nl,Gemeente Hattem,https://organisaties.overheid.nl/archive/exportOO.xml
